uur,katwijk,gouda,halfweg
0,-42.67,-65.66,-20.52
1,-45.00,-55.70,-20.52
2,-45.00,-45.75,-20.52
3,-45.00,-35.80,-20.52
4,-9.83,-25.85,-20.53
5,0.00,-22.83,-20.55
6,0.00,-24.18,-20.53
7,0.00,-22.53,-20.58
8,0.00,-23.26,-20.50
9,0.00,-23.99,-20.53
10,0.00,-24.72,-20.53
11,0.00,-25.45,-20.53
12,0.00,-,-20.50
13,0.00,-,-20.52
14,0.00,-,-20.53
15,0.00,-,-20.52
16,0.00,-,-20.52
17,0.00,-,-20.52
18,0.00,-17.73,-20.50
19,0.00,-16.16,-20.50
20,0.00,-13.48,-20.50
21,0.00,-10.80,-20.53
22,0.00,-8.11,-11.92
23,0.00,-5.42,-10.20
