uur,katwijk,gouda,halfweg
0,-30.00,-,-30.72
1,-30.00,-,-30.70
2,-30.00,-,-30.72
3,-30.17,-,-30.75
4,-15.33,-,-30.73
5,-2.50,-,-30.78
6,0.00,-,-30.72
7,0.00,-,-22.18
8,0.00,-,-20.43
9,0.00,-,-20.45
10,0.00,-,-20.45
11,0.00,-,-20.40
12,0.00,-,-20.42
13,0.00,-,-20.42
14,0.00,-,-20.43
15,0.00,-,-20.40
16,0.00,-,-20.42
17,0.00,-,-20.45
18,0.00,-,-20.42
19,0.00,-,-20.42
20,0.00,-,-20.43
21,0.00,-,-20.45
22,0.00,-,-20.40
23,0.00,-,-20.45
