uur,katwijk,gouda,halfweg
0,-30.00,0.62,-20.48
1,-30.00,0.63,-3.40
2,-30.00,0.73,0.00
3,-30.00,0.34,0.00
4,-30.00,0.55,0.00
5,-30.00,0.61,0.00
6,-30.00,0.41,0.00
7,-30.00,0.38,0.00
8,-30.00,1.59,0.00
9,-30.00,1.87,0.00
10,-30.00,1.42,0.00
11,-30.00,0.20,0.00
12,-30.00,0.99,-20.58
13,-30.00,1.07,-20.52
14,-30.00,0.72,-20.53
15,-30.00,0.75,-20.52
16,-30.00,-23.45,-20.52
17,-30.00,-10.20,-20.53
18,-29.83,-,-20.52
19,-30.00,-,-20.50
20,-34.67,-,-20.50
21,-45.33,-,-24.07
22,-55.50,-,-30.72
23,-60.00,-,-30.72
