uur,katwijk,gouda,halfweg
0,-44.83,0.54,-10.25
1,-45.00,0.36,-18.82
2,-45.00,0.50,-20.50
3,-45.00,0.64,-20.53
4,-45.00,0.63,-20.50
5,-20.50,0.62,-20.50
6,-2.50,1.84,-20.52
7,0.00,1.78,-20.55
8,0.00,0.16,-3.42
9,0.00,-12.03,-23.88
10,0.00,-28.11,-30.68
11,0.00,-44.19,-30.75
12,0.00,-60.27,-30.72
13,0.00,-69.63,-30.70
14,-4.50,-,-30.68
15,-39.50,-,-30.68
16,-45.00,-,-19.02
17,-45.00,-,-10.23
18,-45.17,-,-10.20
19,-45.00,-,-10.20
20,-45.00,-,-6.82
21,-45.17,-,0.00
22,-45.00,-,0.00
23,-5.67,-34.57,-5.05
