uur,katwijk,gouda,halfweg
0,0.00,-18.77,-20.40
1,0.00,-18.37,-20.43
2,0.00,-18.22,-20.42
3,0.00,-18.14,-20.40
4,0.00,-18.05,-20.40
5,0.00,-16.65,-20.43
6,0.00,-11.96,-20.42
7,0.00,-7.14,-20.43
8,0.00,-2.32,-20.42
9,0.00,0.10,-20.43
10,0.00,-0.53,-20.43
11,0.00,-,-
12,-28.60,-,-
