uur,katwijk,gouda,halfweg
0,0.00,-1.95,-10.20
1,0.00,-59.16,-10.20
2,0.00,-67.13,-10.20
3,0.00,-4.60,-10.20
4,0.00,0.44,-10.20
5,0.00,-21.06,-10.20
6,0.00,-14.55,-10.20
7,0.00,0.54,-10.20
8,0.00,0.63,-10.20
9,0.00,0.47,-10.20
10,0.00,-0.08,-15.32
11,0.00,-0.38,-20.42
12,0.00,-70.78,-20.43
13,0.00,-,-20.42
14,0.00,-,-20.40
15,-29.83,-,-20.45
16,-30.00,-,-20.50
17,-30.00,-,-20.50
18,-29.83,-,-20.47
19,-30.00,-5.47,-20.47
20,-30.00,2.36,-20.43
21,-30.00,1.04,-20.48
22,-30.00,0.64,-20.47
23,-30.00,0.73,-20.50
