0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0.00,0.00,0.00,0.00,0.00,0.00,0.00,-6.83,-38.83,-30.00,-30.00,-17.67,-15.00,-10.33,0.00,0.00,0.00,0.00,0.00,0.00,-7.00,-19.83,-30.00,-32.00
-44.83,-45.00,-45.00,-45.00,-45.00,-20.50,-2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-4.50,-39.50,-45.00,-45.00,-45.17,-45.00,-45.00,-45.17,-45.00,-5.67
-42.67,-45.00,-45.00,-45.00,-9.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-29.83,-30.00,-30.00,-29.83,-30.00,-30.00,-30.00,-30.00,-30.00
-30.00,-30.00,-30.00,-30.00,-30.00,-30.00,-30.00,-30.00,-30.00,-30.00,-30.00,-30.00,-30.00,-30.00,-30.00,-30.00,-30.00,-30.00,-29.83,-30.00,-34.67,-45.33,-55.50,-60.00
-60.00,-60.00,-60.00,-60.00,-60.00,-60.00,-60.00,-60.00,-60.17,-60.17,-60.00,-60.00,-60.00,-60.00,-60.00,-59.33,-60.00,-55.00,-44.83,-30.67,-30.00,-30.33,-30.17,-30.17
-30.00,-30.00,-30.00,-30.17,-15.33,-2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
