0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,6.83,38.83,30.0,30.0,17.67,15.0,10.33,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,7.0,19.83,30.0,32.0
44.83,45.0,45.0,45.0,45.0,20.5,2.5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,4.5,39.5,45.0,45.0,45.17,45.0,45.0,45.17,45.0,5.67
42.67,45.0,45.0,45.0,9.83,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,29.83,30.0,30.0,29.83,30.0,30.0,30.0,30.0,30.0
30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,29.83,30.0,34.67,45.33,55.5,60.0
60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.17,60.17,60.0,60.0,60.0,60.0,60.0,59.33,60.0,55.0,44.83,30.67,30.0,30.33,30.17,30.17
30.0,30.0,30.0,30.17,15.33,2.5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
