0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
-20.48,-20.50,-20.52,-20.48,-20.50,-20.48,-20.47,-20.50,-10.25,-15.42,-20.50,-20.53,-20.53,-20.53,-20.57,-20.60,-13.72,0.00,0.00,0.00,0.00,0.00,0.00,-6.80
-10.25,-18.82,-20.50,-20.53,-20.50,-20.50,-20.52,-20.55,-3.42,-23.88,-30.68,-30.75,-30.72,-30.70,-30.68,-30.68,-19.02,-10.23,-10.20,-10.20,-6.82,0.00,0.00,-5.05
-20.52,-20.52,-20.52,-20.52,-20.53,-20.55,-20.53,-20.58,-20.50,-20.53,-20.53,-20.53,-20.50,-20.52,-20.53,-20.52,-20.52,-20.52,-20.50,-20.50,-20.50,-20.53,-11.92,-10.20
-10.20,-10.20,-10.20,-10.20,-10.20,-10.20,-10.20,-10.20,-10.20,-10.20,-15.32,-20.42,-20.43,-20.42,-20.40,-20.45,-20.50,-20.50,-20.47,-20.47,-20.43,-20.48,-20.47,-20.50
-20.48,-3.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-20.58,-20.52,-20.53,-20.52,-20.52,-20.53,-20.52,-20.50,-20.50,-24.07,-30.72,-30.72
-30.70,-30.70,-30.72,-30.70,-30.67,-30.68,-30.68,-30.70,-30.67,-30.70,-30.70,-30.70,-30.72,-30.72,-30.70,-30.72,-30.72,-30.72,-30.77,-30.73,-30.75,-30.77,-30.75,-30.72
-30.72,-30.70,-30.72,-30.75,-30.73,-30.78,-30.72,-22.18,-20.43,-20.45,-20.45,-20.40,-20.42,-20.42,-20.43,-20.40,-20.42,-20.45,-20.42,-20.42,-20.43,-20.45,-20.40,-20.45
