0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
13.62,6.24,4.16,3.28,0.68,0.00,0.76,0.79,1.89,7.50,27.32,37.49,60.10,63.32,47.00,50.10,27.64,79.97,95.00,95.00,81.49,68.96,46.37,38.00
101.94,146.95,148.44,138.00,100.10,107.47,154.68,174.70,175.07,165.37,136.00,111.93,101.52,105.60,118.95,130.11,138.81,153.00,152.99,128.00,129.17,120.00,119.90,116.07
114.32,115.00,103.00,98.00,78.15,71.00,68.96,86.00,112.64,134.51,100.00,86.60,83.80,97.20,117.05,149.99,125.80,149.93,133.20,124.30,125.00,155.20,133.20,192.70
136.40,130.39,106.70,99.00,96.09,102.22,110.70,120.02,128.39,130.75,130.34,128.29,130.03,129.85,136.40,138.76,141.20,149.83,144.17,138.38,129.73,123.07,118.54,109.61
111.61,94.76,85.62,82.94,74.73,67.00,65.67,64.22,75.50,75.70,82.95,80.02,81.66,65.32,59.67,49.98,49.91,63.23,61.13,52.08,40.88,39.00,32.48,20.36
25.99,9.65,6.20,2.77,1.97,3.69,10.00,45.54,72.00,77.03,60.00,40.28,42.06,45.06,64.57,77.94,77.92,102.91,126.66,119.95,99.90,79.94,73.43,50.96
19.51,8.71,8.90,5.01,5.13,5.80,60.00,116.56,165.98,138.50,110.74,79.95,70.10,67.33,75.00,84.90,125.58,160.70,173.86,127.50,102.90,97.60,82.20,80.01
